Date,High,Low,Open,Close,Volume,Adj Close
2019/12/30,153.3699951,142.3399963,148,147.5,2845149,147.5
2019/12/31,148.5,140.0800018,145,144.0200043,1643983,144.0200043
2020/1/2,158.4199982,144.2200012,146.9900055,158.4199982,2491529,158.4199982
2020/1/3,165,149.1900024,159.8800049,155,3139327,155
2020/1/6,156.6799927,145.0500031,148.9900055,154.3600006,1660219,154.3600006
2020/1/7,155,150.3699951,155,152.5299988,1073500,152.5299988
2020/1/8,152.4799957,146.7799988,150,146.9400024,949633,146.9400024
2020/1/9,152.7799988,147,150,147.9900055,996950,147.9900055
2020/1/10,150.9900055,146.7400055,148.2700043,147.3099976,940500,147.3099976
2020/1/13,149,140,148.8999939,148.4799957,1262805,148.4799957
2020/1/14,156.5500031,145.5099945,149.3999939,156.5500031,1318385,156.5500031
2020/1/15,157.4799957,149,153.9900055,151,1303172,151
2020/1/16,151.0599976,147.0800018,151.0599976,148.1600037,681600,148.1600037
2020/1/17,158,147.1100006,148.0099945,153.8099976,1217249,153.8099976
2020/1/20,164.5,149.2200012,153.1499939,161.7899933,1175113,161.7899933
2020/1/21,177.9700012,157.8000031,158,177.9700012,1248713,177.9700012
2020/1/22,182.8800049,160.1699982,176,178.0299988,1696000,178.0299988
2020/1/23,168,160.2299957,163,160.2299957,1178700,160.2299957
2020/2/3,144.2100067,144.2100067,144.2100067,144.2100067,102200,144.2100067
2020/2/4,152.7899933,130.1000061,130.2400055,147.6699982,1036521,147.6699982
2020/2/5,153.5,145,148,147.6199951,784200,147.6199951
2020/2/6,162.3800049,145.1000061,146,162.3800049,1231979,162.3800049
2020/2/7,178.5800018,161.1100006,163.4600067,176.9700012,1095177,176.9700012
2020/2/10,184.8699951,170.1999969,178.6999969,179.4299927,837163,179.4299927
2020/2/11,182.8500061,171,179.6000061,174.0700073,861204,174.0700073
2020/2/12,178.9499969,170.2799988,170.2799988,175.0099945,660580,175.0099945
2020/2/13,192.5099945,173.7599945,177,186.9199982,1118338,186.9199982
2020/2/14,190.2299957,182.5099945,186.7599945,188.2200012,640518,188.2200012
2020/2/17,207.0399933,186.8800049,188.2200012,207.0399933,840776,207.0399933
2020/2/18,216,202.0299988,207,208.4799957,1151087,208.4799957
2020/2/19,213.0299988,200.5099945,202.9100037,204.9900055,778982,204.9900055
2020/2/20,209.5899963,198.0800018,204.9600067,206.4900055,542812,206.4900055
